Female Total,Female Percentage,Male Total,Male Percentage,Zipcode,Grand Total
10421,53.11,9200,46.89,24701,19621
943,45.01,1152,54.99,24712,2095
106,45.69,126,54.31,24714,232
252,52.07,232,47.93,24715,484
258,55.36,208,44.64,24716,466
28,21.71,101,78.29,24719,129
36,30.77,81,69.23,24724,117
290,62.91,171,37.09,24726,461
129,51.19,123,48.81,24731,252
329,47.2,368,52.8,24733,697
236,50.97,227,49.03,24736,463
16344,52.75,14641,47.25,24740,30985
1730,51.53,1627,48.47,24747,3357
2059,40.1,3076,59.9,24801,5135
342,58.16,246,41.84,24808,588
202,36.66,349,63.34,24811,551
166,64.84,90,35.16,24813,256
417,50.55,408,49.45,24815,825
92,46.0,108,54.0,24816,200
408,48.69,430,51.31,24817,838
516,50.84,499,49.16,24818,1015
305,51.09,292,48.91,24822,597
219,45.34,264,54.66,24823,483
49,53.85,42,46.15,24826,91
637,48.7,671,51.3,24827,1308
411,50.68,400,49.32,24828,811
289,52.26,264,47.74,24836,553
727,51.97,672,48.03,24839,1399
25,51.02,24,48.98,24843,49
720,50.96,693,49.04,24844,1413
247,55.26,200,44.74,24845,447
43,56.58,33,43.42,24846,76
159,42.97,211,57.03,24847,370
60,49.18,62,50.82,24848,122
96,49.23,99,50.77,24849,195
382,57.1,287,42.9,24850,669
223,47.65,245,52.35,24853,468
173,54.23,146,45.77,24854,319
423,44.9,519,55.1,24857,942
259,46.17,302,53.83,24862,561
181,58.39,129,41.61,24866,310
300,72.12,116,27.88,24867,416
497,48.77,522,51.23,24868,1019
288,56.47,222,43.53,24869,510
1344,47.51,1485,52.49,24870,2829
130,44.98,159,55.02,24871,289
281,44.18,355,55.82,24872,636
230,46.18,268,53.82,24873,498
1581,52.7,1419,47.3,24874,3000
283,48.71,298,51.29,24878,581
346,59.35,237,40.65,24879,583
190,51.08,182,48.92,24881,372
158,40.31,234,59.69,24882,392
175,61.84,108,38.16,24884,283
57,57.58,42,42.42,24888,99
764,55.48,613,44.52,24892,1377
208,59.94,139,40.06,24894,347
4829,51.97,4463,48.03,24901,9292
3473,60.51,2267,39.49,24910,5740
263,48.61,278,51.39,24915,541
444,61.67,276,38.33,24916,720
863,44.85,1061,55.15,24918,1924
89,46.6,102,53.4,24920,191
235,46.17,274,53.83,24925,509
571,48.51,606,51.49,24931,1177
293,50.0,293,50.0,24935,586
830,47.65,912,52.35,24938,1742
566,46.55,650,53.45,24941,1216
335,60.69,217,39.31,24944,552
122,40.26,181,59.74,24945,303
630,40.1,941,59.9,24946,1571
910,54.69,754,45.31,24951,1664
1960,50.45,1925,49.55,24954,3885
59,53.64,51,46.36,24962,110
2104,51.3,1997,48.7,24963,4101
902,53.09,797,46.91,24966,1699
2042,46.03,2394,53.97,24970,4436
121,48.79,127,51.21,24974,248
515,54.15,436,45.85,24976,951
254,45.2,308,54.8,24977,562
227,49.03,236,50.97,24981,463
1084,48.5,1151,51.5,24983,2235
188,52.37,171,47.63,24984,359
2960,55.98,2328,44.02,24986,5288
392,47.12,440,52.88,24991,832
1453,52.21,1330,47.79,25003,2783
410,44.86,504,55.14,25007,914
630,46.43,727,53.57,25009,1357
456,52.6,411,47.4,25011,867
2371,56.08,1857,43.92,25015,4228
278,51.96,257,48.04,25019,535
144,49.48,147,50.52,25021,291
206,51.89,191,48.11,25024,397
231,57.61,170,42.39,25028,401
476,60.25,314,39.75,25031,790
1025,46.89,1161,53.11,25033,2186
472,39.43,725,60.57,25035,1197
112,26.54,310,73.46,25036,422
550,59.85,369,40.15,25039,919
243,48.12,262,51.88,25040,505
730,47.46,808,52.54,25043,1538
128,54.47,107,45.53,25044,235
2502,49.78,2524,50.22,25045,5026
127,52.05,117,47.95,25047,244
237,45.32,286,54.68,25049,523
139,51.48,131,48.52,25051,270
2477,53.84,2124,46.16,25053,4601
251,53.52,218,46.48,25054,469
213,48.97,222,51.03,25057,435
243,46.64,278,53.36,25059,521
514,58.81,360,41.19,25061,874
97,56.4,75,43.6,25062,172
885,54.1,751,45.9,25063,1636
5025,53.5,4368,46.5,25064,9393
438,42.98,581,57.02,25067,1019
783,52.3,714,47.7,25070,1497
5888,50.09,5868,49.91,25071,11756
420,63.16,245,36.84,25075,665
564,50.81,546,49.19,25081,1110
937,54.45,784,45.55,25082,1721
521,54.27,439,45.73,25083,960
520,55.5,417,44.5,25085,937
377,50.27,373,49.73,25086,750
108,58.38,77,41.62,25102,185
72,45.0,88,55.0,25103,160
216,44.81,266,55.19,25106,482
251,55.04,205,44.96,25107,456
